ImageId,Label
1,9
2,2
3,0
4,6
5,0
6,2
7,6
8,0
9,6
10,4
11,4
12,3
13,6
14,7
15,7
16,3
17,2
18,5
19,7
20,1
21,6
22,6
23,5
24,9
25,6
26,5
27,6
28,3
29,2
30,9
31,4
32,9
33,0
34,9
35,4
36,3
37,1
38,6
39,1
40,7
41,9
42,9
43,2
44,7
45,3
46,8
47,3
48,3
49,8
50,8
51,6
52,0
53,5
54,5
55,5
56,4
57,3
58,0
59,3
60,1
61,3
62,3
63,7
64,6
65,4
66,9
67,0
68,1
69,7
70,3
71,0
72,7
73,2
74,3
75,1
76,6
77,9
78,6
79,3
80,3
81,3
82,0
83,1
84,5
85,0
86,5
87,3
88,8
89,8
90,2
91,5
92,1
93,9
94,4
95,0
96,2
97,1
98,9
99,9
100,3
101,3
102,3
103,6
104,1
105,0
106,7
107,1
108,8
109,6
110,4
111,8
112,2
113,6
114,7
115,9
116,8
117,1
118,8
119,0
120,1
121,5
122,7
123,0
124,7
125,1
126,1
127,4
128,7
129,1
130,4
131,0
132,9
133,7
134,0
135,9
136,0
137,2
138,3
139,0
140,2
141,0
142,4
143,1
144,5
145,6
146,1
147,0
148,1
149,0
150,2
151,1
152,4
153,1
154,7
155,1
156,2
157,8
158,3
159,6
160,9
161,5
162,6
163,4
164,8
165,1
166,6
167,6
168,6
169,0
170,3
171,5
172,1
173,9
174,9
175,0
176,0
177,2
178,2
179,1
180,6
181,4
182,9
183,1
184,0
185,3
186,2
187,5
188,5
189,0
190,6
191,2
192,2
193,9
194,4
195,9
196,0
197,0
198,3
199,7
200,7
201,9
202,4
203,0
204,1
205,6
206,6
207,3
208,1
209,8
210,6
211,3
212,5
213,0
214,6
215,5
216,1
217,1
218,8
219,4
220,0
221,8
222,8
223,2
224,4
225,9
226,5
227,3
228,0
229,7
230,7
231,3
232,8
233,5
234,4
235,0
236,8
237,4
238,3
239,2
240,7
241,0
242,9
243,3
244,2
245,2
246,2
247,1
248,4
249,3
250,4
251,7
252,1
253,3
254,9
255,7
256,2
257,2
258,9
259,6
260,0
261,1
262,3
263,2
264,9
265,6
266,4
267,5
268,2
269,9
270,3
271,3
272,4
273,7
274,7
275,5
276,8
277,4
278,7
279,4
280,1
281,2
282,4
283,9
284,6
285,9
286,8
287,2
288,0
289,2
290,9
291,6
292,6
293,7
294,7
295,7
296,8
297,6
298,1
299,6
300,7
301,5
302,6
303,5
304,5
305,0
306,2
307,1
308,7
309,0
310,2
311,3
312,1
313,8
314,6
315,8
316,6
317,9
318,6
